ProdId,TimeId,RegionId,MerchantId,Price_USD,Price_Original

746,20171010,4,32,243.2544060986,206.1350000000
746,20171010,4,43,359.3323145367,304.5000000000
746,20171011,4,32,244.1489991709,206.1350000000
746,20171011,4,43,355.9220656165,300.5050000000
746,20171012,4,32,244.1200852676,206.1350000000
746,20171012,4,43,357.9075590444,302.2171428571
746,20171014,4,32,243.6569523821,206.1350000000
746,20171014,4,43,359.9269507863,304.5000000000
746,20171015,4,32,243.6828759391,206.1350000000
746,20171015,4,43,355.7672920906,300.9488888888
746,20171016,4,32,243.4339497862,206.1350000000
746,20171016,4,43,357.7103852240,302.9020000000
746,20171016,10,68,233.0089347992,175.3800000000
746,20171017,4,32,242.1883719974,206.1350000000
746,20171017,4,43,355.6714791948,302.7244444444
746,20171018,4,32,242.9963279716,206.1350000000
746,20171018,4,43,358.1661862969,303.8341666666
746,20171018,10,68,233.3012308870,176.8400000000
746,20171019,4,32,243.8717081135,206.1350000000
746,20171019,4,43,358.8937976818,303.3585714285
746,20171020,4,32,242.7716732030,206.1350000000
746,20171020,4,43,357.8953757733,303.8853846153
746,20171020,10,68,231.3476150274,175.3800000000
746,20171021,4,32,242.9304625030,206.1350000000
746,20171021,4,43,354.9303603661,301.1708333333
746,20171022,4,32,242.8574794708,206.1350000000
746,20171022,4,43,354.0392794448,300.5050000000
746,20171023,4,32,242.1158341066,206.1350000000
746,20171023,4,43,355.7734998061,302.9020000000
746,20171024,4,32,242.5274576590,206.1350000000
746,20171024,4,43,355.9083234797,302.5025000000
746,20171024,10,68,232.2319693229,176.8400000000
746,20171025,4,32,243.4052049877,206.1350000000
746,20171025,4,43,357.8396853477,303.0472727272
746,20171026,4,32,240.8667862421,206.1350000000
746,20171026,4,43,355.2218379186,304.0006250000
746,20171027,4,32,238.9098474180,206.1350000000
746,20171027,4,43,352.0727344374,303.7736363636
746,20171028,4,32,239.2856313700,206.1350000000
746,20171028,4,43,353.4696909897,304.5000000000
746,20171029,4,32,239.3328611733,206.1350000000
746,20171029,4,43,350.8889489685,302.2171428571
746,20171030,4,32,239.8592040958,206.1350000000
746,20171030,4,43,350.1848835104,300.9488888888
746,20171031,4,32,240.2197853422,206.1350000000
